YEAR,CCSCODE,CCSCATEGORY,NUMDISCHARGES,PERCENTDISCHARGES,RATEDISCHARGES,LOS,MEANCHARGES,AGGCHARGES,PERCENTDISCHARGESED,PERCENTDIED,PERCENTMALE,MEANCOSTS,AGGCOSTS,CCSLVL1,CCSLVL1LABEL
1997,137,Other procedures to assist delivery,1179939.9693,3.550768,432.77215371,1.9344354998,4028.1680574,4755588506.4,7.019919,,,,,13,Obstetrical procedures
1997,115,Circumcision,1052659.8127,3.167747,386.0890097,2.4257119781,1924.7309373,2027629273.4,0.097961,,99.983336,,,11,Operations on the male genital organs
1997,134,Cesarean section,762485.34467,2.294531,279.66034998,3.7568309538,8019.7945576,6119251807.2,4.50841,0.027965,,,,13,Obstetrical procedures
1997,47,"Diagnostic cardiac catheterization, coronary arteriography",644180.45796,1.938519,236.2691081,3.8989632338,12906.64617,8308234350.5,49.902977,0.958304,55.59055,,,7,Operations on the cardiovascular system
1997,70,"Upper gastrointestinal endoscopy, biopsy",588079.94502,1.769697,215.69285809,5.8193220052,11827.093096,6936748754.4,59.513145,2.187214,45.339006,,,9,Operations on the digestive system
1997,140,Repair of current obstetric laceration,561454.57834,1.689573,205.92734664,1.8998388349,3828.5080426,2152456067.1,6.174603,,,,,13,Obstetrical procedures
1997,133,Episiotomy,555362.51588,1.671241,203.69293213,1.9572291892,3918.9931864,2177268789.9,4.741357,,,,,13,Obstetrical procedures
1997,124,"Hysterectomy, abdominal and vaginal",545207.83302,1.640682,199.96845115,3.1187139383,9660.277995,5267463247,,0.096985,,,,12,Operations on the female genital organs
1997,45,Percutaneous coronary angioplasty (PTCA),491462.86645,1.478949,180.256156,3.5029570602,21765.490631,10665427308,25.261969,0.967541,65.559932,,,7,Operations on the cardiovascular system
1997,216,Respiratory intubation and mechanical ventilation,464289.5934,1.397177,170.28968634,11.189214032,35407.728569,16349753480,58.071819,30.252816,51.066808,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,84,Cholecystectomy and common duct exploration,370086.8783,1.113695,135.73851174,4.6187470366,15057.874247,5577751891.4,43.512528,0.800828,30.657339,,,9,Operations on the digestive system
1997,44,Coronary artery bypass graft (CABG),357725.70016,1.076496,131.20474407,9.0725156961,48278.306447,17268374524,18.593231,2.909985,70.232599,,,7,Operations on the cardiovascular system
1997,231,Other therapeutic procedures,356440.03798,1.072627,130.73319568,5.5876927846,10194.214911,3645010445.4,40.969192,2.367926,46.189214,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,135,"Forceps, vacuum, and breech delivery",352113.05306,1.059606,129.14616699,2.121504894,4471.7703253,1572602589.9,4.057039,,,,,13,Obstetrical procedures
1997,228,Prophylactic vaccinations and inoculations,326311.4223,0.981962,119.68278106,2.3022807098,1644.0315744,537935883.79,0.594558,,28.48032,,,16,Miscellaneous diagnostic and therapeutic procedures
1997,219,Alcohol and drug rehabilitation/detoxification,324957.87645,0.977889,119.18633465,5.8255640553,5369.8181583,1746778051.2,36.446748,0.116577,68.379358,,,16,Miscellaneous diagnostic and therapeutic procedures
